[[0.82426518201828], [0.8458375334739685], [0.8431347012519836], [0.812059223651886], [0.8305122256278992]]
[[0.8799803853034973], [0.8295873999595642], [0.8319693803787231], [0.8319030404090881], [0.8008486032485962]]
[[0.8361921906471252], [0.8086143136024475], [0.8057929277420044], [0.8494970202445984], [0.8057224750518799]]
[[0.8084027171134949], [0.8590248823165894], [0.872098445892334], [0.7533725500106812], [0.7642794251441956]]
[[0.82426518201828], [0.8603762984275818], [0.8466283082962036], [0.8133254647254944], [0.8285173773765564]]
[[0.8700081706047058], [0.8719421029090881], [0.8344634771347046], [0.866866409778595], [0.8079109191894531]]
[[0.864810585975647], [0.8039289712905884], [0.8450932502746582], [0.8853476047515869], [0.8759697675704956]]
[[0.8207067847251892], [0.8169190287590027], [0.804168701171875], [0.7988559603691101], [0.8523215651512146]]
[[0.8459248542785645], [0.8501724004745483], [0.8472392559051514], [0.8337627649307251], [0.7908815145492554]]
[[0.9085448980331421], [0.7992309331893921], [0.8334879875183105], [0.8033909797668457], [0.931405246257782]]
[[0.841202437877655], [0.7939395904541016], [0.7991383075714111], [0.775808572769165], [0.8040626645088196]]
[[0.8093445301055908], [0.7657396793365479], [0.7981882095336914], [0.846998929977417], [0.8399812579154968]]
[[0.8142273426055908], [0.8127310276031494], [0.8016894459724426], [0.8159239888191223], [0.787254273891449]]
[[0.8269094824790955], [0.8029593825340271], [0.7866931557655334], [0.826592206954956], [0.7866358757019043]]
[[0.8747720122337341], [0.8268206119537354], [0.8051357269287109], [0.7912902235984802], [0.7773374915122986]]
[[0.8633190393447876], [0.8435918092727661], [0.8309645056724548], [0.8430085182189941], [0.8686612248420715]]
[[0.8613778948783875], [0.7976515293121338], [0.8352044820785522], [0.8037678599357605], [0.790093719959259]]
[[0.8192073106765747], [0.7986031770706177], [0.7935882806777954], [0.8157826662063599], [0.787254273891449]]
[[0.821682870388031], [0.7954226732254028], [0.7617961764335632], [0.8341590166091919], [0.7962545156478882]]
[[0.8961480259895325], [0.8570863008499146], [0.886855959892273], [0.8025330305099487], [0.7972956299781799]]
[[0.8007484674453735], [0.846707820892334], [0.8456375598907471], [0.8048579692840576], [0.7873173356056213]]
[[0.7734596729278564], [0.7769057154655457], [0.7790349125862122], [0.7871633768081665], [0.7623142600059509]]
[[0.8936439752578735], [0.7927683591842651], [0.7735281586647034], [0.7955977320671082], [0.7963016629219055]]
[[0.8217744827270508], [0.826571524143219], [0.8472638726234436], [0.8256089091300964], [0.8693610429763794]]
[[0.847590446472168], [0.8258912563323975], [0.7623676061630249], [0.880048930644989], [0.8581321835517883]]
[[0.8129398226737976], [0.7796298861503601], [0.8733423352241516], [0.8090658783912659], [0.8217890858650208]]
[[0.8152183890342712], [0.8601942658424377], [0.8209816217422485], [0.8577139973640442], [0.8533982634544373]]
[[0.8300731778144836], [0.8122130632400513], [0.8774767518043518], [0.867530107498169], [0.8023435473442078]]
[[0.8363282680511475], [0.8878560662269592], [0.8052738308906555], [0.8457369804382324], [0.920142412185669]]
[[0.8476312756538391], [0.7937864661216736], [0.8009266257286072], [0.8262500166893005], [0.8202618956565857]]
[[0.8014243245124817], [0.8590248823165894], [0.8419106006622314], [0.8235917687416077], [0.7660188674926758]]
[[0.8291975855827332], [0.808578610420227], [0.7871894240379333], [0.8405442833900452], [0.8057224750518799]]
[[0.847493052482605], [0.7897100448608398], [0.7913830876350403], [0.7995150685310364], [0.7952079176902771]]
[[0.7697657942771912], [0.8115520477294922], [0.7977272868156433], [0.78505539894104], [0.8009214401245117]]
[[0.8289190530776978], [0.811675488948822], [0.7894919514656067], [0.8445680737495422], [0.8462555408477783]]
